,ds,y
0,2020-01-01 06:00:00,130.0
1,2020-01-01 07:00:00,129.87
2,2020-01-01 08:00:00,130.01
3,2020-01-01 09:00:00,129.98
4,2020-01-01 10:00:00,130.33
5,2020-01-01 11:00:00,130.36
6,2020-01-01 12:00:00,131.28
7,2020-01-01 13:00:00,131.41
8,2020-01-01 14:00:00,131.66
9,2020-01-01 15:00:00,131.75
10,2020-01-01 16:00:00,132.55
11,2020-01-01 17:00:00,131.97
12,2020-01-01 18:00:00,131.64
13,2020-01-01 19:00:00,131.34
14,2020-01-01 20:00:00,131.73
15,2020-01-01 21:00:00,131.41
16,2020-01-01 22:00:00,129.77
17,2020-01-01 23:00:00,130.19
18,2020-01-02 00:00:00,130.0
19,2020-01-02 01:00:00,129.76
20,2020-01-02 02:00:00,129.21
21,2020-01-02 03:00:00,128.56
22,2020-01-02 04:00:00,129.12
23,2020-01-02 05:00:00,129.08
24,2020-01-02 06:00:00,128.78
25,2020-01-02 07:00:00,128.65
26,2020-01-02 08:00:00,129.68
27,2020-01-02 09:00:00,129.46
28,2020-01-02 10:00:00,129.39
29,2020-01-02 11:00:00,129.16
30,2020-01-02 12:00:00,129.49
31,2020-01-02 13:00:00,128.97
32,2020-01-02 14:00:00,129.03
33,2020-01-02 15:00:00,129.26
34,2020-01-02 16:00:00,127.22
35,2020-01-02 17:00:00,126.91
36,2020-01-02 18:00:00,127.12
37,2020-01-02 19:00:00,127.25
38,2020-01-02 20:00:00,126.82
39,2020-01-02 21:00:00,127.39
40,2020-01-02 22:00:00,127.01
41,2020-01-02 23:00:00,126.81
42,2020-01-03 00:00:00,126.65
43,2020-01-03 01:00:00,125.63
44,2020-01-03 02:00:00,126.61
45,2020-01-03 03:00:00,126.52
46,2020-01-03 04:00:00,129.14
47,2020-01-03 05:00:00,128.96
48,2020-01-03 06:00:00,129.08
49,2020-01-03 07:00:00,128.58
50,2020-01-03 08:00:00,131.95
51,2020-01-03 09:00:00,132.18
52,2020-01-03 10:00:00,131.98
53,2020-01-03 11:00:00,132.27
54,2020-01-03 12:00:00,132.14
55,2020-01-03 13:00:00,133.4
56,2020-01-03 14:00:00,131.62
57,2020-01-03 15:00:00,132.5
58,2020-01-03 16:00:00,133.42
59,2020-01-03 17:00:00,134.05
60,2020-01-03 18:00:00,133.39
61,2020-01-03 19:00:00,133.28
62,2020-01-03 20:00:00,133.3
63,2020-01-03 21:00:00,132.14
64,2020-01-03 22:00:00,132.93
65,2020-01-03 23:00:00,134.17
66,2020-01-04 00:00:00,133.65
67,2020-01-04 01:00:00,132.89
68,2020-01-04 02:00:00,133.22
69,2020-01-04 03:00:00,133.28
70,2020-01-04 04:00:00,133.45
71,2020-01-04 05:00:00,133.55
72,2020-01-04 06:00:00,133.84
73,2020-01-04 07:00:00,133.84
74,2020-01-04 08:00:00,133.45
75,2020-01-04 09:00:00,133.87
76,2020-01-04 10:00:00,133.03
77,2020-01-04 11:00:00,133.6
78,2020-01-04 12:00:00,132.69
79,2020-01-04 13:00:00,132.64
80,2020-01-04 14:00:00,132.82
81,2020-01-04 15:00:00,133.19
82,2020-01-04 16:00:00,132.96
83,2020-01-04 17:00:00,134.55
84,2020-01-04 18:00:00,133.34
85,2020-01-04 19:00:00,133.72
86,2020-01-04 20:00:00,133.93
87,2020-01-04 21:00:00,133.95
88,2020-01-04 22:00:00,134.11
89,2020-01-04 23:00:00,134.14
90,2020-01-05 00:00:00,134.66
91,2020-01-05 01:00:00,135.59
92,2020-01-05 02:00:00,135.35
93,2020-01-05 03:00:00,136.12
94,2020-01-05 04:00:00,135.77
95,2020-01-05 05:00:00,136.1
96,2020-01-05 06:00:00,136.07
97,2020-01-05 07:00:00,136.09
98,2020-01-05 08:00:00,135.29
99,2020-01-05 09:00:00,135.24
100,2020-01-05 10:00:00,134.89
101,2020-01-05 11:00:00,135.11
102,2020-01-05 12:00:00,135.94
103,2020-01-05 13:00:00,135.66
